VARIABLES = "X" "temp" "u" "rho" "H" "H2" "O" "OH" "H2O" "O2" "HO2" "H2O2" "N2"
ZONE I=100 FORMAT=POINT SPECFORMAT=MASS
0.000000000000000000e+00     7.499999999999886313e+02     0.000000000000000000e+00     1.875152559103478334e+00     0.000000000000000000e+00     0.000000000000000000e+00     8.034839642542918259e-16     0.000000000000000000e+00     0.000000000000000000e+00     2.329092179584214550e-01     0.000000000000000000e+00     0.000000000000000000e+00     7.670907820415777678e-01
1.010101010101010187e-02     1.650610042649029310e+03     0.000000000000000000e+00     8.021057167717366987e-01     2.519889548215231200e-09     1.655454896538994741e-07     2.716545286193707021e-06     1.377636435709911518e-04     9.018805371495974832e-02     1.503281296214832585e-01     7.228445278276974515e-07     5.526105362484933099e-08     7.593423903037390676e-01
2.020202020202020374e-02     2.296307674245251292e+03     0.000000000000000000e+00     5.433119802545093302e-01     6.189949908964600280e-06     8.727252158226261045e-05     3.464713965008916325e-04     4.305721643824071514e-03     1.774071779041934416e-01     6.624402588391602176e-02     8.448152412318378108e-06     6.939852897644448456e-07     7.515939985623721897e-01
3.030303030303030387e-02     2.618275284156519774e+03     0.000000000000000000e+00     4.431559675023251099e-01     1.535343172002514277e-04     2.636009783736203028e-03     4.449364201524642491e-04     7.025286333194322337e-03     2.421390296759049210e-01     3.752454317706857036e-03     2.688560155380239828e-06     4.537637524810826456e-07     7.438456068281971145e-01
4.040404040404040747e-02     2.493851096392598265e+03     0.000000000000000000e+00     4.205580735928474145e-01     2.053544342133876977e-04     1.215761429237664781e-02     3.428657243823754854e-05     1.838791369143602398e-03     2.496014129790062042e-01     6.518682433375523654e-05     9.337091595992157314e-08     4.506716858384953011e-08     7.360972150904037115e-01
5.050505050505051108e-02     2.336410895228981644e+03     0.000000000000000000e+00     4.079935773261644805e-01     1.396678260986267638e-04     2.253314616396602868e-02     3.882895553460819788e-06     5.554440304156970775e-04     2.484150084594862751e-01     4.012704475379283526e-06     7.245051749502694526e-09     7.322342214103961368e-09     7.283488233526105304e-01
6.060606060606060774e-02     2.192260535837603584e+03     0.000000000000000000e+00     3.982657662680124111e-01     8.164873785289090274e-05     3.296549844611699337e-02     5.147112204445082394e-07     1.802046176542351828e-04     2.461713348178618532e-01     3.648878227209139973e-07     7.402956252264948407e-10     1.426358916551428989e-09     7.206004316148162392e-01
7.070707070707071829e-02     2.062562831219327109e+03     0.000000000000000000e+00     3.903647713974371936e-01     4.452917374138204659e-05     4.339286865318477127e-02     7.289991494198845417e-08     6.022626071563130340e-05     2.436502233859018929e-01     3.936241685576595516e-08     8.540771753497217169e-11     3.016984814208962737e-10     7.128520398770182842e-01
8.080808080808081495e-02     1.946189043829491084e+03     0.000000000000000000e+00     3.837739099831471989e-01     2.334025619432856586e-05     5.380914655805744268e-02     1.070492523931046975e-08     2.045339437207100935e-05     2.410433961979529249e-01     4.671758918579676452e-09     1.055427852369540096e-11     6.695738995373914847e-11     7.051036481392273236e-01
9.090909090909091161e-02     1.841639792095483926e+03     0.000000000000000000e+00     3.781664628982637222e-01     1.192991134812460108e-05     6.421721754000270233e-02     1.609503119367136228e-09     7.019191316254734053e-06     2.384085747398502209e-01     5.898271608379816098e-10     1.364737614131255031e-12     1.535430869282871556e-11     6.973552564014333655e-01
1.010101010101010222e-01     1.747415864967789503e+03     0.000000000000000000e+00     3.733252564003224916e-01     5.993654033108401911e-06     7.462033991991795512e-02     2.461096139151227782e-10     2.426911942100773966e-06     2.357643745227876730e-01     7.778100316908378786e-11     1.823016878252053262e-13     3.606929952793125822e-12     6.896068646636392963e-01
1.111111111111111188e-01     1.662151996550168860e+03     0.000000000000000000e+00     3.691005363331322231e-01     2.973502364144260818e-06     8.502072474104248323e-02     3.810167643847747710e-11     8.436823563546526072e-07     2.331169850941306187e-01     1.059118833661288643e-11     2.494920084052491974e-14     8.630925693162510517e-13     6.818584729305253722e-01
1.212121212121212155e-01     1.584659491859951459e+03     0.000000000000000000e+00     3.653848057279399653e-01     1.460733818474243699e-06     9.541966349258003410e-02     5.952029206728498317e-12     2.944218531888957162e-07     2.304685001518652354e-01     1.477393115923472160e-12     3.477542949359789641e-15     2.095026683409624351e-13     6.741100811922405844e-01
1.313131313131313260e-01     1.513925728919210769e+03     0.000000000000000000e+00     3.620977383291581475e-01     7.117903019102279345e-07     1.058178596329891058e-01     9.356618682215989452e-13     1.030059711000573849e-07     2.278196361157654726e-01     2.098966661883283371e-13     4.914613362413542410e-16     5.142194805830702527e-14     6.663616894537749413e-01
1.414141414141414366e-01     1.449095808613222971e+03     0.000000000000000000e+00     3.591771294893346678e-01     3.444284980043702917e-07     1.162156815715169184e-01     1.476918095244630237e-13     3.609030818351351272e-08     2.251706401942390190e-01     3.023838970234613735e-14     7.017589722327171135e-17     1.273030179731500686e-14     6.586132977152469037e-01
1.515151515151515194e-01     1.389449233691968402e+03     0.000000000000000000e+00     3.565733851962405443e-01     1.656308855404326322e-07     1.266133175227228957e-01     2.336711910886804644e-14     1.265235908877664641e-08     2.225215982166880713e-01     4.402192041849556451e-15     1.009634239033946798e-17     3.172348649629315654e-15     6.508649059773135015e-01
1.616161616161616299e-01     1.334377371756627781e+03     0.000000000000000000e+00     3.542460635006343117e-01     7.919720914264861499e-08     1.370108620122663934e-01     3.700287192838088562e-15     4.434967380148348589e-09     2.198725401165586568e-01     6.458971180539184357e-16     1.460332933084646756e-18     7.944420207591986294e-16     6.431165142389932976e-01
1.717171717171717404e-01     1.283363804532980566e+03     0.000000000000000000e+00     3.521616158832331367e-01     3.766804749494395161e-08     1.474083619135539425e-01     5.857767556294917911e-16     1.553419515197519572e-09     2.172234763641984756e-01     9.530230755585135862e-17     2.119675270135038734e-19     1.996637075462160297e-16     6.353681225007795641e-01
1.818181818181818232e-01     1.235967975579448876e+03     0.000000000000000000e+00     3.502918469911139865e-01     1.782616460209047712e-08     1.578058402385657533e-01     9.261304629377483719e-17     5.434423177108125331e-10     2.145744106294218134e-01     1.411658809698693592e-17     3.083026375658506396e-20     5.030485984392190912e-17     6.276197307624052923e-01
1.919191919191919338e-01     1.191811876341502057e+03     0.000000000000000000e+00     3.486128190808308602e-01     8.395813075767857629e-09     1.682033081907108041e-01     1.461187454727413773e-17     1.898052376160330404e-10     2.119253441989959741e-01     2.096142610655578009e-18     4.487953864295522737e-21     1.269384893768001330e-17     6.198713390246748389e-01
